Feature,Importance
numeric__Torque [Nm],0.1339668850739808
numeric__Rotational speed [rpm],0.11611190760418295
numeric__PWF,0.11150449502690583
numeric__HDF,0.08150081137247248
numeric__Tool wear [min],0.08130755353504734
numeric__OSF,0.07832267787176295
numeric__TWF,0.05065952036535224
numeric__Air temperature [K],0.04330059304209129
numeric__UDI,0.041012288718407945
numeric__Process temperature [K],0.028688514372116464
categorical__Type_L,0.006070653954656603
categorical__Type_M,0.00363633278073827
categorical__Product ID_L53658,0.0035262410987767587
categorical__Product ID_L53121,0.0030619276265318636
categorical__Product ID_M17609,0.0030607269495425147
categorical__Product ID_H30851,0.002764505924982766
categorical__Product ID_M19544,0.0024518190919163153
categorical__Product ID_M18904,0.002389943133535248
categorical__Type_H,0.0023038601381303943
categorical__Product ID_M20396,0.0015684830837494705
categorical__Product ID_M22971,0.001401460471286687
categorical__Product ID_M17104,0.001334894134722276
categorical__Product ID_L56198,0.001331210536308264
categorical__Product ID_L54690,0.0013303669256143481
categorical__Product ID_L56756,0.0012553476486374389
categorical__Product ID_L48464,0.001235145135661495
categorical__Product ID_L48943,0.0012211272475043924
categorical__Product ID_L48689,0.0012182197505298945
categorical__Product ID_L53352,0.0012177676075056784
categorical__Product ID_M21659,0.001207685613800211
categorical__Product ID_M20859,0.001177893644735405
categorical__Product ID_L55789,0.0011707648165856684
categorical__Product ID_L50709,0.0011439922426313093
categorical__Product ID_M22286,0.001139052909233447
categorical__Product ID_L55870,0.0011152903506268868
categorical__Product ID_L50759,0.0011129205623584834
categorical__Product ID_M16352,0.001099881684008158
categorical__Product ID_L53436,0.0010993974705364273
categorical__Product ID_L54716,0.001098106196052801
categorical__Product ID_M18317,0.0010941609875365441
categorical__Product ID_M17026,0.001080374779546298
categorical__Product ID_L47257,0.0010681191073616952
categorical__Product ID_L47230,0.0010679871984828877
categorical__Product ID_L49413,0.0010674622273396015
categorical__Product ID_L49479,0.0010601131492858902
categorical__Product ID_L47643,0.0010528961579882676
categorical__Product ID_L55578,0.001048308246916237
categorical__Product ID_M15054,0.0010401465388791456
categorical__Product ID_M20194,0.0010268896426626425
